location	habitat_type	community	isolate	OD_transferrin	ODrel_transferrin	PVD_transferrin	PVDrel_transferrin	OD_FeCl3	ODrel_FeCl3	OD_dpd	ODrel_dpd	PVDbyOD_tr	PVD_dpd	PVDrel_dpd
Irchel	pond	B	3B19	0.1338	0.6606	35447.0	1.2349	0.8434	1.0879	0.0517	0.2076	268347.5	21483.7	0.7845
Irchel	pond	B	3B20	0.0981	0.4844	22074.4	0.7691	0.7133	0.9201	0.1168	0.4692	225049.5	14714.7	0.5374
Irchel	pond	C	3C1	0.1185	0.7179	0.0	0.0000	0.1952	0.2557	0.0068	0.0275	0.0	14.7	0.0006
Irchel	pond	C	3C2	0.0833	0.5048	9874.7	0.3758	0.7572	0.9918	0.1154	0.4693	118560.1	11601.7	0.4423
Irchel	pond	C	3C3	0.2439	1.4775	23579.0	0.8973	0.9452	1.2381	0.2712	1.1028	98365.0	30598.3	1.1666
Irchel	pond	C	3C4	0.1783	1.0804	29903.4	1.1380	0.3491	0.4572	0.0320	0.1301	169265.9	1728.0	0.0659
Irchel	pond	C	3C5	0.1921	1.1636	33085.0	1.2591	0.3573	0.4679	0.0693	0.2818	175393.5	14034.3	0.5351
Irchel	pond	C	3C6	0.0923	0.5594	31820.0	1.2109	0.4137	0.5419	0.0428	0.1740	345396.8	7059.7	0.2692
Irchel	pond	C	3C7	0.2319	1.4048	17141.0	0.6523	0.5072	0.6643	0.0889	0.3615	76184.7	10158.7	0.3873
Irchel	pond	C	3C8	0.1636	0.9914	19836.4	0.7549	0.5114	0.6698	0.0636	0.2586	133983.1	16380.3	0.6245
Irchel	pond	C	3C9	0.1032	0.6254	31856.0	1.2123	0.5499	0.7202	0.1010	0.4107	308708.7	25588.7	0.9756
Irchel	pond	C	3C10	0.2623	1.5894	28332.0	1.0782	0.7537	0.9871	0.2973	1.2090	108426.4	18001.7	0.6863
Irchel	pond	C	3C11	0.2134	1.2927	26541.4	1.0100	0.6679	0.8748	0.1527	0.6211	124466.9	24692.3	0.9414
Irchel	pond	C	3C12	0.1668	1.0106	17431.7	0.6634	0.6766	0.8862	0.2208	0.8979	104633.2	19435.0	0.7410
Irchel	pond	C	3C13	0.1809	1.0962	33923.7	1.2910	0.4195	0.5495	0.0216	0.0878	187586.9	2526.7	0.0963
Irchel	pond	C	3C14	0.2366	1.4335	27518.0	1.0472	0.7532	0.9865	0.0240	0.0976	116805.3	925.3	0.0353
Irchel	pond	C	3C15	0.1095	0.6636	15977.0	0.6080	0.8154	1.0680	0.1006	0.4090	152274.4	9249.3	0.3526
Irchel	pond	C	3C16	0.3419	2.0717	31724.0	1.2073	0.8612	1.1279	0.2965	1.2056	95280.6	34966.7	1.3331
Irchel	pond	C	3C17	0.1401	0.8490	30779.0	1.1713	0.6466	0.8469	0.1891	0.7688	243401.1	22670.0	0.8643
Irchel	pond	C	3C18	0.0874	0.5293	25271.4	0.9617	0.4275	0.5600	0.0226	0.0918	289385.5	5415.7	0.2065
Irchel	pond	C	3C19	0.1341	0.8124	33516.7	1.2755	0.5623	0.7365	0.0816	0.3317	278141.6	29626.3	1.1295
Irchel	pond	C	3C20	0.2840	1.7205	50403.4	1.9181	0.9374	1.2278	0.3237	1.3163	177954.4	50447.3	1.9234
Irchel	pond	D	3D1	0.1785	1.2451	27.4	0.0011	0.2867	0.3742	0.0860	0.2673	155.2	60.0	0.0024
Irchel	pond	D	3D2	0.2693	1.8785	18989.4	0.7697	0.6577	0.8585	0.3163	0.9826	70535.4	10057.0	0.3992
Irchel	pond	D	3D3	0.2269	1.5832	38171.4	1.5472	0.6124	0.7993	0.2358	0.7327	171043.4	22457.0	0.8915
Irchel	pond	D	3D4	0.0923	0.6442	19108.0	0.7745	0.6682	0.8721	0.3271	1.0164	208235.1	10987.3	0.4362
Irchel	pond	D	3D5	0.3159	2.2038	37209.4	1.5083	0.7648	0.9983	0.2987	0.9280	117901.3	22040.7	0.8750
Irchel	pond	D	3D6	0.2467	1.7208	26929.7	1.0916	0.7782	1.0158	0.3839	1.1928	110914.8	17586.7	0.6982
Irchel	pond	D	3D7	0.1688	1.1774	37930.4	1.5375	0.7328	0.9565	0.3211	0.9975	243885.5	22499.7	0.8932
Irchel	pond	D	3D8	0.3680	2.5671	28196.7	1.1429	0.7990	1.0429	0.3217	0.9995	76677.6	20608.7	0.8181
Irchel	pond	D	3D9	0.1744	1.2165	27686.7	1.1223	0.3791	0.4949	0.4130	1.2832	159088.9	20121.0	0.7988
Irchel	pond	D	3D10	0.2733	1.9069	28571.7	1.1581	0.6457	0.8428	0.0116	0.0359	104654.7	602.7	0.0239
Irchel	pond	D	3D11	0.1286	0.8972	17748.4	0.7194	0.6553	0.8554	0.1126	0.3499	146416.7	930.7	0.0369
Irchel	pond	D	3D12	0.0921	0.6428	28268.0	1.1458	0.4461	0.5823	0.1536	0.4773	306965.2	18419.7	0.7312
Irchel	pond	D	3D13	0.1790	1.2486	34841.4	1.4123	0.6247	0.8154	0.1906	0.5921	236271.3	26994.7	1.0717
Irchel	pond	D	3D14	0.1973	1.3767	23384.4	0.9479	0.7324	0.9560	0.2398	0.7451	151454.7	17442.7	0.6925
Irchel	pond	D	3D15	0.1766	1.2320	28793.7	1.1671	0.5999	0.7831	0.2612	0.8116	183562.8	23948.0	0.9507
Irchel	pond	D	3D16	0.0808	0.5637	13180.0	0.5342	0.6196	0.8087	0.2127	0.6607	170337.4	11251.3	0.4467
Irchel	pond	D	3D17	0.1036	0.7228	15.7	0.0006	0.3114	0.4064	0.0161	0.0500	153.4	5.3	0.0002
Irchel	pond	D	3D18	0.2125	1.4827	27832.4	1.1282	0.8028	1.0479	0.0191	0.0593	136183.3	993.7	0.0394
Irchel	pond	D	3D19	0.0939	0.6549	12275.0	0.4976	0.4537	0.5922	0.2979	0.9255	130983.1	12082.0	0.4796
Irchel	pond	D	3D20	0.1147	0.8002	18129.4	0.7349	0.6180	0.8067	0.3540	1.0998	158170.3	14768.7	0.5863
Irchel	pond	E	3E1	0.1157	0.5914	28042.3	0.9241	0.5799	0.7696	0.1030	0.4972	248435.4	19598.3	0.7460
Irchel	pond	E	3E2	0.2621	1.3401	38959.0	1.2839	0.3642	0.4833	0.0564	0.2720	153802.6	9201.7	0.3503
Irchel	pond	E	3E3	0.0433	0.2213	263.7	0.0087	0.3511	0.4660	0.0017	0.0082	6093.6	7.0	0.0003
Irchel	pond	E	3E4	0.0778	0.3975	15769.3	0.5197	0.1463	0.1942	0.0559	0.2698	212228.6	1382.7	0.0526
Irchel	pond	E	3E5	0.1357	0.6938	35225.7	1.1609	0.4498	0.5970	0.0260	0.1254	259975.3	595.7	0.0227
Irchel	pond	E	3E6	0.1716	0.8775	27972.3	0.9218	0.7511	0.9968	0.1435	0.6925	164593.9	19816.3	0.7543
Irchel	pond	E	3E7	0.1041	0.5321	30065.0	0.9908	0.8149	1.0816	0.0131	0.0631	288951.5	2951.3	0.1123
Irchel	pond	E	3E8	0.1791	0.9155	26264.3	0.8655	0.7234	0.9601	0.1722	0.8310	148159.1	24702.3	0.9403
Irchel	pond	E	3E9	0.1695	0.8663	28686.3	0.9454	0.7369	0.9780	0.1362	0.6574	169289.3	20075.7	0.7642
Irchel	pond	E	3E10	0.1277	0.6527	36817.3	1.2133	0.6759	0.8971	0.0402	0.1940	288396.4	22834.7	0.8692
Irchel	pond	E	3E11	0.1491	0.7623	715.0	0.0236	0.5647	0.7494	0.0576	0.2782	4805.8	522.7	0.0199
Irchel	pond	E	3E12	0.0609	0.3116	14088.3	0.4643	0.1597	0.2119	0.0644	0.3106	231343.4	1463.0	0.0557
Irchel	pond	E	3E13	0.0818	0.4181	18635.7	0.6141	0.8957	1.1888	0.0205	0.0988	228338.0	1043.0	0.0397
Irchel	pond	E	3E14	0.0220	0.1126	1045.3	0.0344	0.1984	0.2634	0.0149	0.0718	49891.0	184.3	0.0070
Irchel	pond	E	3E15	0.2181	1.1152	32849.3	1.0825	0.8545	1.1342	0.2602	1.2555	150832.7	33728.3	1.2839
Irchel	pond	E	3E16	0.1927	0.9850	44143.3	1.4547	0.3768	0.5001	0.0378	0.1823	229263.5	13541.0	0.5154
Irchel	pond	E	3E17	0.0806	0.4120	18631.7	0.6140	0.8606	1.1422	0.0096	0.0465	231860.6	5211.0	0.1984
Irchel	pond	E	3E18	0.0880	0.4500	19994.3	0.6589	0.5864	0.7783	0.1242	0.5995	227815.5	21208.3	0.8073
Irchel	pond	E	3E19	0.0788	0.4028	15427.7	0.5084	0.4006	0.5316	0.0403	0.1944	198080.0	14019.3	0.5336
Irchel	pond	E	3E20	0.0392	0.2005	3.7	0.0001	0.5444	0.7225	0.0038	0.0184	102.8	8.3	0.0003
Irchel	pond	F	3F1	0.3662	1.8504	27916.0	1.0063	0.6796	0.9192	0.0992	0.3129	77114.4	9283.0	0.3962
Irchel	pond	F	3F2	0.1138	0.5752	32223.3	1.1616	0.4099	0.5544	0.0695	0.2193	283387.6	12749.7	0.5441
Irchel	pond	F	3F3	0.1190	0.6011	850.3	0.0307	0.8056	1.0896	0.0486	0.1535	7174.4	130.0	0.0055
Irchel	pond	F	3F4	0.1251	0.6323	26840.3	0.9675	0.7367	0.9964	0.1853	0.5848	214501.8	12461.0	0.5318
Irchel	pond	F	3F5	0.3583	1.8105	13330.3	0.4805	0.8745	1.1828	0.3788	1.1952	37495.4	7685.0	0.3280
Irchel	pond	F	3F6	0.2571	1.2991	17600.3	0.6345	0.6542	0.8848	0.3317	1.0465	68475.3	11940.7	0.5096
Irchel	pond	F	3F7	0.1746	0.8824	22820.0	0.8226	0.8697	1.1763	0.3072	0.9693	131041.3	21316.7	0.9097
Irchel	pond	F	3F8	0.0792	0.4004	4785.3	0.1725	0.1845	0.2495	0.0085	0.0267	69798.3	23.0	0.0010
Irchel	pond	F	3F9	0.0940	0.4748	3.7	0.0001	0.7043	0.9525	0.0500	0.1577	32.0	8.7	0.0004
